mysql: [Warning] Using a password on the command line interface can be insecure.
id	kode	nama_produk	qty_stok_salah
14296	BAG25	BERAS AGUNG 25KG	4
6739	8998866609142	GIV BEAUTY SOAP MULBERRY 80 GR	4
6052	8992003783665	ANTANGIN JUNIOR 10ML	4
13577	8997221811282	MAT GIM NORI BEEF BULGOGI 2*5GR	4
14108	8992718853936	NISSIN RAMEN RS TAKOYAKI 78GR	4
14847	089686043754	INDOMIE SOTO KOYA NAGIH 76GR	4
11797	8998866182218	MAMA LEMON REFF 400ML	4
11480	8999999042608	RINSO MOLTO ULTRA CAIR UNGU 800 ML	4
14033	089686043631	INDOMIE GORENG RS RENDANG JUMBO 120GR	4
6866	8993560025069	DETTOL SENSITIVE 105GR	4
5674	8992826112215	KUNCI MAS 2LITER	3
13260	089686017137	SARIMI BASO SAPI 77GR	3
1189	8993039111255	REGAL MARIE BISCUITS 125 G	3
11757	8998866671729	EKONOMI ANTI NODA 260 GR E 500 K	3
13128	8998866203494	JAPOTA SPICY LIME 68GR	3
3342	8886013338604	SOBA AYAM BAKAR 24G	3
4253	8991818110321	FINNA KRUPUK RS UDANG SELERAKU 200GR	3
4458	8992933424119	AGARASA COKLAT 22 GR	3
3951	711844130012	ABC SAUS TOMAT 340 ML	3
6793	8999999519087	LUX SOFT ROSE 3'S BANDED 110GR	3
3778	8996196002954	PIATTOS RUMPUT LAUT 85GR	3
2923	8992772585026	ADEM SARI CHING KU 350 ML BTL	3
4254	8991818111007	FINNA KERUPUK BAWANG 200GR	3
13867	8993163507320	MOOI FACIAL TISSUE 150S	3
5155	8998866202114	SEDAAP GORENG 5'S PACK	3
796	8993007002967	INDOFOOD TIGA SAPI SKM 500g	3
3501	8991102987875	TANGO WAFER COKLAT POUCH 125GR	3
8008	8991102024525	FORMULA RIPPLE 3'S	3
6932	8999999045920	LIFEBUOY TOTAL 10 110GR BANDED 4	3
4218	8997207580027	GULA GUNUNG MADU 1KG	3
14047	8996001600849	NIPIS MADU 330ML	3
3011	8992804900612	PRONAS MAKAREL TOMAT 425GR	3
2416	8998009040023	TEH KOTAK 200 ML	3
3942	711844130128	ABC SAUS TOMAT 275ML	3
7817	8999999528904	CITRA HBL SAKURA FAIR 230ML	3
13861	8993007003919	INDOMILK SWISS CHOCO 545GR	3
10551	8993189270314	CHARM EXTRA MAXI NON WING 30P	3
5250	8997011700031	BIHUN PADAMU MERAH 350GR	3
3722	8994834001192	TIC TIC BAWANG 70G	3
315	8993027164034	KONSINYASI HAPPYTOS BIRU 140g JAGUNG BAKAR	3
13659	8997232970947	LEMONILO CASSAMO SPICY BBQ 50GR	3
6757	8999999031107	LUX FRESH SPLASH 85GR	3
4022	8999999516208	ROYCO RS AYAM 230GR	3
4034	6922130108057	TOTOLE KALDU JAMUR 40GR	3
14204	KPR	KONSINYASI PARFUM ROFIQ CAMPUR	3
5563	8996001440124	ENERGEN VANILA 29 GR X 10	3
1517	8886015203115	GOOD TIME DOUBLE CHOCHIPS 80GR	3
8791	8992304009167	GARNIER MEN TL COOLING FOAM 100ML	3
4508	8992933621112	NUTRIJELL MY VLA COKLAT 63GR	3
4393	8992933463118	NUTRIJELL PUDING SUSU MANGGA 170 GR	3
1907	8886015414061	NYAM-NYAM RICE CRISPY 18 GR	3
4506	8992933216110	NUTRIJELL MANGGA 15GR	3
6874	8993560024154	DETTOL FRESH BANDED 105gX5	3
7985	8886020911180	SG BAGUS TOPPI MEDIUM	3
320	78	KONSINYASI TENGGIRI AMPLANG DUA CAHAYA RAHMA	3
6680	8998866608312	GIV PAPAYA KOTAK 80 GR	3
13735	089686386257	TEPUNG RACIK BAKWAN 210 G	3
6785	8999999500399	LUX CAMELLIA WHITE 80G	3
5990	8998898151404	TOLAK ANGIN CAIR ANAK 10 ML	3
14505	8997013070491	PILKITA PEGAL LINU 15ML	3
6064	8998898335408	TOLAK LINU HERBAL 15ML	3
14624	8991906102528	DJARUM SUPER ESPRESSO GOLD 12	3
14279	8997221811374	RUMPANG MINI BALADO 1,5GR	3
14337	8998866629669	PROTEX EXT MAXI NON WING 30'S	3
14664	8998866622394	EKONOMI SEREH JERUK NIPIS 650ML	3
4406	8993296101112	CAKRA KEMBAR TEPUNG 1 KG	3
11736	8992772198042	KISPRAY VIOLET REFIL 300 ML	3
14365	8901526209897	GARNIER COLOR EXPRESS CREAM COKLAT SCH	3
14997	8993007004213	INDOFOOD TIGA SAPI SKM COKLAT 490GR	3
15089	8992994000017	YAKULT RASA MANGGA 325ML	3
7790	8999908273307	MARINA NATURAL RICH MOISTURIZING 350ML	3
11473	8999999016128	RINSO MOLTO ULTRA CAIR MERAH 800ML	3
11465	8999999006006	RINSO ANTI NODA CAIR 800 ML	3
14563	661706049290	MAMA KOKO SANTAN 65ML	3
15073	089686021219	INTERMI MI GORENG 60GR	3
15464	8998866633598	GIV WHITE GOAT'S MILK & ALMOND OIL	3
4386	KPB	KONSINYASI KUE PIA BULAN	2
628	8992753033720	FF SWISS CHOCO 225ML	2
3495	8990044000000	POCKY COKLAT 47 GR	2
1946	8851019210193	POCKY CHOCO BANANA 42GR	2
13452	089686599008	CHITATO RS MIE GORENG 68GR	2
3649	8995108509499	REBO KWACI GREEN TEA 150GR	2
10552	8993189270352	CHARM EXTRA MAXI WING 30P	2
12875	089686043273	INDOMIE MI GORENG SAMBAL RICA RICA 85GR	2
6673	8998866604512	FRES VIOLET 70 GR	2
13349	545758	INDOMIE GORENG RENDANG 91GR	2
2992	8992987001021	MAYA SARDINES TOMAT 425gr	2
5384	8991002105676	KAPAL API KOPI SUSU 31GR	2
2131	8992696523067	MILO UHT 180ML	2
8090	8999999028701	PEPSODENT FRESH COOL MINT 190ML	2
11578	8992772193047	KISSPRAY SEGERIS 24 ML	2
7671	8999908061003	MARINA NAT NOURISHED 200 ML	2
6681	8998866608305	GIV BENGKOANG KOTAK 80 GR	2
580	9415007040026	ANLENE VANILA 20GX5	2
8732	6222001557169	LORD PISAU CUKUR TAJAM 2 PLUS	2
1797	8991001242273	TOP X-TRA LARGE CHOCOLATE 38GR	2
10973	8031568107728	ZEBRA OBAT NYAMUK BAKAR 120GR	2
7980	8991102021418	SG FORMULA SILVER DIAMOND M 3'S	2
7667	8999908082800	MARINA UV WHITE MILK 200 ML	2
8779	8992304015298	GARNIER MEN ACNO FIGHT SCRUB 100ML	2
3367	8999918181180	AIM ROASTED CORN CRACKERS 180g	2
3690	8998288080512	ICE BON BON CHOCOLATE 5*S 425ML	2
13080	8999908273208	MARINA SMOOTH & GLOW 335ML	2
11341	8995027903958	BARUS NAPTH T BALL 5'S 3958	2
4457	8992933324112	NUTRIJELL COKLAT 20 GR	2
311	50	MEC RONI 350G	2
1400	8992716109561	BISKUAT ENERGI COKLAT 172.8gr	2
13289	8998866201964	MG SABRINA 2 LITER	2
6937	8998866618199	NUVO SAKINAH 85GR	2
5164	8998866202138	MIE SEDAAP SOTO 5'S PACK	2
10613	8993189328862	CHARM NIGHT 35CM 18P BUTTERFLY	2
13603	089686440287	INDOFOOD RACIK OPOR AYAM 45G	2
10085	8998103011370	CUSSONS BB CUTTON BUDS 50 REG	2
7673	8999908214805	MARINA NAT MOISTURE 200 ML	2
590	8992802064019	ZEE SWISZZ CHOCOLATE MILK 40GRX10'S	2
316	MTCR	KONSINYASI MICKY TWIST CORN 225G RAHMA	2
8745	6222001557312	PISAU CUKUR LORD 3 BLADES	2
3735	8993175538596	RICHOCO NABATI CHOCOLATE WAFER 125GR	2
11756	8998866603836	WINGS BIRU350 120 GR	2
3993	8999999192150	ROYCO RSCHICKEN 100GR	2
3973	8997011931725	DESAKU BUBUK SAMBAL GORENG 12.5GR	2
3832	8999999100506	BANGO KECAP MANIS 600 ML	2
11522	8998866604390	SOKLIN SOFTNR PURPLE 900 ML	2
14130	8998866624329	SOKLIN LIQUID WHITE & BRIGHT 525ML	2
13544	089686440089	INDOFOOD RACIK BUMBU GULAI 45G	2
6936	8998866618144	NUVO RELAX & PROTECT 76GR	2
13516	8999999589219	SUNLIGHT JERUK NIPIS & DAUN MINT 650ML	2
13001	8997021870571	HOT IN CREAM 60GR	2
5359	8992696420557	NESCAFE ORI 17.5 GR X 10 SCH	2
7808	8999999528805	CITRA HBL PEARLY WHITE UV 230ML	2
14129	8998866623773	SOKLIN LIQUID LAVENDER 525ML	2
6780	8999999059347	LIFEBUOY COOL FRESH 85G	2
13474	8998866203401	SEDAAP SOTO MADURA 75GR	2
14114	KIU	KONSINYASI USUS INDO CRISPY	2
5212	8998866200813	SEDAAP CUP MIE GORENG 85GR	2
13190	8999999589189	SUNLIGHT JERUK NIPIS REFF 650ML+30%	2
10549	8993189270741	CHARM BF WING 42CM 7+1P	2
2328	8850389108314	MOGU MOGU ANGGUR 320 ML	2
3971	8997011931640	DESAKU BUBUK OPOR 12.5GR	2
11738	8992772198028	KISPRAY SEGERIS REFIL 300ml	2
8017	8991102021531	SG FORMULA TRENDY ISI 3	2
3736	8993027163907	KONSINYASI HAPPYTOS RASA KEJU NACHO 140GR	2
14239	KGR	KONSINYASI KERIPIK GADUNG RAHMA	2
2726	8997035563414	POCARI SWEAT 500 ML	2
2216	8997218380159	ICHITAN BROWN SUGAR MILK 310ML	2
5592	8992696428300	NESTLE HONEY STARS CUP 32 GR	2
7341	8999999053031	POND'S WB FAC FOAM PINKISH WHITE 100GR	2
2512	8996006853431	FRUIT TEA BTL X-TREME 500ML	2
5311	8994286110015	DANDANG TEA BIRU 40GR	2
2982	8992820115519	PRONAS SARDINES TOMAT 155GR	2
14198	8993175556637	NABATI MIE GORENG 85GR	2
5207	8998866200851	SEDAAP CUP BASO SPC 77GR	2
13913	8992003787335	KOJIMA MINUMAM MADU TAMARIND 340ML	2
14312	8992696525931	MILO UHT CHOCO BANANA 180ML	2
3129	8888166336568	NISSIN CRISPY CRACKERS 250 G	2
2025	8994755020371	NYAM NYAM CHOCO VANILLA 25GR	2
1635	8994755020357	NYAM NYAM CHOCO BANANA 25GR	2
12886	8992933441116	NUTRIJELL PUDDING SUSU MELON 145GR	2
5431	8991002115149	KOPI KAPAL API GRANDE WHITE COFFE 20GR	2
5595	8992696428287	MILO CEREAL 32GR	2
13915	8998866203531	ISOPLUS COCO 350ML	2
2209	8997218380142	ICHITAN THAI MANGO COCONUT 310ML	2
13269	013256140406	TONG GARDEN HONEY PEANUT 42G	2
10489	8992727003087	LAURIER RELAX NIGHT 35CM WING 6P	2
7959	8991102020459	FORMULA SG TRENDY SOFT	2
13052	8992856906839	VITALIS MEN EDP PARTY NIGHT 100ML	2
14366	8901526539567	GARNIER COLOR ULTRA COLOR GOLDEN BROWN SCH	2
6682	8998866602389	SABUN GIV PASSION FLOWER&SWEET BERRY 76GR	2
14363	8994993019656	GARNIER MICELLAR SALICYLIC BHA 125ML	2
5682	8999909028234	DJI SAM SOE KRETEK 12	2
8417	8992856903197	ROMANO AMBITION ACTIVE MEN COLOGNE 100ML	2
279	8994093103095	KONSINYASI KDS POPCORN COKLAT 130GR	2
13987	8993175557504	NABATI SIIP BITE COKLAT 62GR	2
14297	BAG10	BERAS AGUNG 10KG	2
7886	8992304094767	GARNIER LIGHT COMP YOGHURT NIGHT 20ML	2
14506	BSH5	KONSINYASI BERAS SEHAT 5KG	2
2436	8992388101023	NU GREEN TEA HONEY 500 ML	2
7289	8991380700036	GARNIER LIGHT COMP FOAM 50 ML	2
14075	8996001330722	KOPIKO PERMEN COFFEE 175GR	2
13540	089686041705	INDOMIE GORENG JUMBO 129G	2
1543	8888166989948	MD EGG DROPS 110 GR	2
1328	8993039242539	REGAL MARIE DUO COKLAT 125GR	2
14107	8992718853929	NISSIN RAMEN RS KARE 80GR	2
14646	8992933415117	NUTRIJELL EKO DARK CHOCO 12GR	2
5086	8992388112401	ABC MIE GORENG AYAM LIMAU 85GR	2
11519	8998866659574	SOKLIN SOFTNR PINK 900 ML	2
13753	8992003786659	KOJIMA 140ML	2
14650	8997878700267	MILKITA BITES HIGH CALCIUM 24G	2
13348	089686010015	INDOMIE AYAM BAWANG 69GR	2
14673	8999999605940	CITRA HBL BENGKOANG 210ML	2
5972	8998898280401	TOLAK ANGIN FLU 15 ML	2
776	8993007001700	INDOMILK SKM COKLAT 6X42 GR	2
14544	8992696525825	MILO BISCUIT KRIM SUSU 104GR	2
11002	8992857060134	VAPE MAT ULTRA ELEC	2
2102	749921006868	HILO TEEN UHT CHOCO 200 ML	2
13785	8993200665372	CIMORY YOGURT DRINK BLUEBERRY 200ML	2
14811	8992933155112	HAPPY PUDDING MANGGA 60GR	2
14433	8998866107044	EMERON HAIR VIT SOFT & SMOOTH 6'S	2
14659	8996001601051	COLLAGENA SUSU STERIL 189ML	2
5119	8992388111237	MIE ABC AYAM BAWANG 65GR	2
3829	8997221810261	MAT GIM INKO NORI PANGGANG ORIGINAL  2*5GR	2
14432	8998866109291	EMERON HAIR VIT CLEAN & FRESH 6'S	2
14401	8999999604264	SUNLIGHT JERUK NIPIS 635ML	2
7757	8999908559401	MARINA HBL HYDRO COOL DEWY BRIGHT 100ML	2
5172	8888327831185	GAGA MIE GORENG SPESIAL 75g	2
7636	8999908060808	MARINA H&B SOFT & SWEET HONEY 100ML	2
